id_venda,id_cliente,id_produto,id_vendedor,id_data,quantidade,preco_unitario,custo_unitario,canal_venda
191,427,411,,20241108,78,76.83,59.68,Atacado
192,462,17,79,20240702,90,112.99,88.0,Varejo
193,246,281,30,20240901,348,12.39,7.83,Atacado
194,104,178,43,20240131,12,91.49,62.63,Atacado
195,477,85,88,20240711,134,117.56,80.91,Atacado
196,310,358,75,20241017,392,10.88,8.64,Atacado
197,101,325,69,20240403,390,10.57,7.19,Varejo
198,334,236,77,20240125,7,94.35,73.8,Varejo
199,130,303,80,20240114,295,6.41,6.66,Atacado
200,81,361,94,20240310,449,12.34,7.83,Atacado
201,548,71,44,20240406,179,128.4,81.97,Atacado
202,186,245,83,20241102,5,96.33,72.48,Atacado
203,506,478,26,20240619,78,78.35,56.72,Varejo
204,3,257,61,20240719,539,8.97,6.19,Varejo
205,487,82,100,20240501,45,118.49,96.58,Atacado
206,200,240,58,20240426,13,88.13,66.73,Atacado
207,176,297,3,20240726,386,14.16,7.43,Varejo
208,259,479,72,20241013,123,87.06,53.83,Exportação
209,369,495,68,20240317,90,76.95,54.61,Atacado
210,579,358,59,20240610,449,12.29,6.47,Atacado
211,577,484,20,20240904,56,85.58,53.43,Atacado
212,509,74,46,20241219,90,112.49,93.41,Varejo
213,11,116,53,20240416,90,136.54,95.29,Atacado
214,444,89,22,20240527,45,109.02,94.15,Varejo
215,79,464,18,20240802,56,68.51,36.48,Atacado
216,117,115,87,20240303,90,133.57,85.58,Varejo
217,343,100,85,20240821,45,136.56,95.08,Atacado
218,99,38,1,20241224,134,143.95,119.44,Atacado
219,370,303,22,20240418,286,10.7,7.15,Varejo
220,520,371,39,20240626,208,10.62,8.38,Varejo
221,391,27,2,20240222,90,102.01,83.79,Atacado
222,72,133,63,20240711,15,72.94,55.78,Atacado
223,462,486,89,20241223,45,76.71,55.76,Varejo
224,554,249,11,20240722,369,10.12,7.29,Varejo
225,209,268,4,20240328,105,10.39,6.93,Atacado
226,535,63,56,20240430,134,97.26,77.05,Atacado
227,552,33,70,20240828,45,115.83,94.88,Varejo
228,508,458,65,20241118,45,58.02,38.58,Atacado
229,506,208,41,20240617,12,79.21,59.2,Varejo
230,61,213,35,20240630,15,80.99,62.6,Atacado
231,136,379,11,20241103,101,72.33,51.96,Atacado
232,94,140,31,20240217,10,79.05,50.05,Varejo
233,302,97,28,20241217,90,130.81,112.02,Varejo
234,179,67,9,20240621,179,106.81,87.26,Atacado
235,482,38,69,20240507,45,129.02,102.33,Exportação
236,528,142,67,20241024,15,80.56,56.73,Varejo
237,415,151,77,20240412,4,86.68,51.93,Varejo
238,81,443,33,20240305,90,89.6,49.65,Atacado
239,157,163,60,20240412,11,103.62,80.98,Atacado
240,486,319,70,20240916,230,10.08,6.9,Exportação
241,458,356,57,20240215,134,13.26,8.15,Varejo
242,600,174,15,20240616,10,94.12,76.11,Atacado
243,521,66,42,20240405,45,95.37,84.97,Atacado
244,109,67,59,20240723,134,107.67,72.44,Atacado
245,456,407,36,20240302,90,89.27,59.06,Atacado
246,566,348,33,20241022,350,13.4,7.4,Varejo
247,140,355,20,20241209,324,10.19,7.72,Atacado
248,181,58,86,20240503,45,138.37,104.01,Varejo
249,397,303,28,20240514,301,9.93,8.04,Atacado
250,53,188,20,20240815,1,73.0,55.26,Atacado
251,13,414,67,20241010,224,84.21,52.88,Atacado
252,185,17,24,20240128,269,119.35,83.61,Exportação
253,508,214,74,20240916,10,87.54,49.97,Atacado
254,94,151,52,20241105,10,90.96,58.14,Varejo
255,281,322,51,20241028,269,10.6,6.14,Atacado
256,92,98,23,20240612,45,135.93,107.71,Varejo
257,243,109,7,20241107,90,137.79,123.34,Atacado
258,407,338,39,20240724,287,9.78,6.21,Atacado
259,120,443,13,20240319,67,79.38,49.6,Atacado
260,320,307,47,20240422,203,11.0,7.79,Atacado
261,216,169,73,20240813,4,92.65,61.86,Atacado
262,419,366,34,20240726,275,9.56,7.9,Atacado
263,218,442,21,20241101,78,75.31,52.18,Atacado
264,262,275,66,20241002,297,10.97,7.0,Atacado
265,116,460,26,20240328,101,77.83,46.05,Varejo
266,204,274,53,20240528,314,9.56,6.05,Atacado
267,596,358,98,20241024,275,11.27,6.71,Atacado
268,2,425,94,20240619,67,78.52,52.15,Atacado
269,542,257,8,20240401,455,9.87,7.6,Varejo
270,366,495,95,20241213,168,86.04,53.54,Varejo
271,4,301,5,20240615,472,11.92,7.48,Exportação
272,178,205,83,20240430,4,77.23,54.25,Varejo
273,582,425,17,20240709,56,80.68,57.61,Atacado
274,158,250,28,20240427,291,9.34,5.78,Atacado
275,351,63,93,20240417,45,105.67,91.34,Atacado
276,72,409,82,20240911,101,91.92,65.46,Atacado
277,231,417,48,20241029,134,87.2,54.64,Varejo
278,219,245,92,20240601,12,101.86,68.43,Atacado
279,485,207,77,20240310,7,80.12,52.53,Atacado
280,196,331,4,20240625,212,11.33,6.01,Varejo
281,504,458,39,20240530,45,54.39,38.79,Varejo
282,93,249,30,20240611,452,10.62,7.45,Varejo
283,481,38,21,20240406,45,141.96,100.65,Atacado
284,537,194,33,20241021,7,83.26,56.41,Atacado
285,250,448,87,20240324,78,73.54,51.63,Varejo
286,56,417,12,20240119,123,78.6,54.18,Atacado
287,363,156,37,20240927,10,108.62,75.6,Atacado
288,78,21,49,20241012,45,107.89,96.57,Varejo
289,492,264,1,20240406,230,9.57,7.02,Atacado
290,293,91,25,20240314,134,114.66,79.46,Varejo
291,443,185,32,20240807,4,84.26,66.41,Atacado
292,59,460,30,20241207,101,60.83,52.81,Atacado
293,271,319,65,20240411,223,10.2,6.81,Varejo
294,440,99,64,20240721,90,115.21,82.96,Varejo
295,29,95,88,20240415,45,118.24,86.44,Atacado
296,582,121,37,20241011,90,111.87,103.68,Atacado
297,373,319,10,20240622,225,9.7,6.64,Varejo
298,96,97,4,20240522,45,143.37,111.17,Atacado
299,280,151,58,20240909,9,82.17,60.71,Varejo
300,135,419,81,20240717,45,84.73,60.99,Atacado
301,387,203,56,20240324,7,71.38,46.47,Atacado
302,395,206,20,20240604,16,80.86,52.27,Atacado
303,518,456,9,20241218,67,80.75,48.69,Atacado
304,302,27,61,20241031,90,117.32,84.43,Varejo
305,132,460,9,20240709,45,68.67,47.13,Atacado
306,433,285,64,20240911,437,12.13,8.6,Atacado
307,586,354,93,20240303,311,9.71,6.22,Atacado
308,447,479,60,20240603,123,88.38,59.98,Atacado
309,9,148,79,20241130,9,82.1,48.46,Varejo
310,352,148,49,20240319,2,75.46,61.95,Varejo
311,526,228,85,20241226,13,81.38,59.93,Varejo
312,446,460,33,20241115,45,66.28,52.16,Atacado
313,38,440,50,20240921,90,69.16,46.83,Varejo
314,146,377,54,20240521,78,62.7,42.84,Atacado
315,436,471,40,20240212,45,86.79,56.44,Varejo
316,193,329,23,20240425,393,10.33,6.03,Varejo
317,367,360,88,20241011,160,11.56,7.87,Atacado
318,212,243,68,20240606,5,107.14,71.61,Atacado
319,403,479,36,20241101,101,77.11,55.2,Atacado
320,432,146,10,20240329,7,73.13,51.46,Varejo
321,546,91,59,20241107,90,120.8,78.71,Atacado
322,459,85,15,20241119,90,114.07,75.8,Varejo
323,416,472,87,20241005,34,89.41,60.93,Atacado
324,353,293,35,20240325,206,12.08,8.33,Varejo
325,262,430,43,20240401,78,83.8,58.17,Atacado
326,524,284,68,20240131,275,12.74,7.77,Atacado
327,98,134,43,20240125,9,86.99,55.47,Varejo
328,231,47,46,20241010,134,145.32,104.61,Atacado
329,25,296,43,20240630,354,12.16,8.12,Atacado
330,343,371,20,20241018,115,12.5,7.37,Atacado
331,575,322,27,20240421,31,6.98,7.25,Varejo
332,321,356,47,20240511,218,10.88,7.4,Varejo
333,3,467,82,20241130,123,81.19,54.52,Varejo
334,137,338,80,20241231,381,9.49,5.28,Varejo
335,394,484,12,20240216,90,82.69,59.23,Atacado
336,367,195,99,20241024,7,59.53,48.99,Atacado
337,8,239,37,20240728,4,90.15,52.76,Varejo
338,188,134,9,20240103,15,92.05,58.86,Atacado
339,28,31,85,20240823,45,111.26,85.11,Varejo
340,415,249,26,20240420,239,10.3,6.41,Varejo
341,195,249,97,20240513,223,11.18,5.88,Exportação
342,509,15,4,20241222,45,111.17,85.5,Atacado
343,89,414,72,20241012,67,82.05,48.19,Atacado
344,337,411,76,20240126,123,88.0,60.41,Atacado
345,549,487,9,20240919,112,78.0,47.58,Atacado
346,350,353,34,20240107,2,11.61,8.16,Varejo
347,286,294,84,20241127,523,11.26,6.85,Varejo
348,337,112,89,20240814,45,132.12,93.22,Atacado
349,158,155,61,20240830,8,80.31,63.57,Atacado
350,289,178,5,20240108,9,95.36,64.68,Atacado
351,169,52,28,20240208,90,127.54,100.14,Atacado
352,8,302,33,20240715,236,10.13,7.22,Atacado
353,51,239,57,20240523,11,83.25,63.18,Atacado
354,247,172,60,20241106,15,77.73,57.62,Exportação
355,491,359,44,20240421,164,11.75,8.56,Varejo
356,381,428,66,20240529,56,70.83,60.09,Varejo
357,54,218,89,20240223,13,98.43,66.44,Atacado
358,54,363,9,20240705,146,11.28,7.19,Atacado
359,209,413,34,20241218,56,82.02,52.19,Atacado
360,31,282,60,20240415,292,10.45,6.27,Varejo
361,308,352,17,20241028,432,12.72,8.38,Atacado
362,180,339,7,20240311,440,10.34,5.72,Atacado
363,42,281,47,20241127,299,10.31,7.15,Varejo
364,28,33,48,20240709,45,125.07,97.15,Varejo
365,11,299,78,20240226,278,13.13,8.65,Atacado
366,17,377,89,20241025,11,73.99,39.87,Varejo
367,311,214,39,20241127,10,80.37,49.62,Atacado
368,234,342,14,20240304,419,11.92,7.85,Atacado
369,104,459,53,20240222,112,71.39,48.82,Atacado
370,473,294,46,20240410,311,12.11,6.98,Atacado
371,107,405,91,20240710,123,83.93,58.36,Varejo
372,479,481,44,20241216,78,85.25,69.2,Varejo
373,596,173,54,20241119,13,87.99,63.25,Atacado
374,518,236,84,20240505,3,105.41,65.26,Atacado
375,449,396,17,20240118,146,81.77,50.52,Varejo
376,7,31,11,20240814,179,111.21,87.09,Atacado
377,473,60,100,20240805,269,138.21,114.52,Atacado
378,124,141,60,20240407,6,78.43,55.05,Varejo
379,56,237,86,20240817,14,94.25,72.71,Atacado
380,350,140,52,20241226,12,76.37,54.73,Atacado
381,507,414,63,20240304,67,75.6,54.52,Varejo
382,114,460,4,20240502,45,75.96,48.13,Exportação
383,450,123,70,20241115,90,126.28,104.69,Atacado
384,445,32,78,20240309,90,137.97,110.67,Atacado
385,357,178,49,20240227,11,98.49,68.1,Atacado
386,500,214,26,20240314,9,72.0,48.11,Varejo
387,141,241,36,20241021,4,100.16,53.31,Atacado
388,427,130,13,20240226,10,82.13,53.61,Atacado
389,53,188,2,20240211,3,85.79,52.97,Atacado
390,104,240,74,20240828,22,78.81,76.55,Atacado
391,560,358,40,20241020,404,11.33,7.42,Exportação
392,375,23,14,20241016,45,121.78,87.0,Varejo
393,324,158,49,20240610,7,93.49,67.77,Atacado
394,557,29,43,20241206,45,127.79,91.95,Varejo
395,526,217,65,20240306,10,74.23,53.24,Atacado
396,418,250,59,20240613,278,8.92,6.27,Varejo
397,132,358,98,20240519,232,12.33,7.51,Atacado
398,531,372,93,20240723,78,11.39,7.06,Atacado
399,487,353,72,20240321,590,11.56,7.41,Atacado
400,266,329,23,20240305,197,11.99,6.5,Atacado
401,272,240,61,20241226,15,100.07,70.1,Atacado
402,300,293,47,20240427,273,13.02,6.95,Atacado
403,60,259,92,20240704,169,9.02,6.6,Atacado
404,179,85,52,20241206,90,119.31,82.12,Atacado
405,49,471,6,20240428,112,85.81,60.02,Exportação
406,403,160,59,20240518,5,88.58,65.1,Atacado
407,549,63,71,20240731,134,125.06,87.53,Varejo
408,54,31,12,20240201,90,96.19,80.67,Varejo
409,354,323,22,20240111,378,9.54,5.75,Varejo
410,33,60,50,20240830,45,128.17,115.35,Atacado
411,88,206,91,20240520,9,76.84,54.07,Atacado
412,88,58,48,20240206,90,125.65,104.48,Atacado
413,417,79,23,20240422,134,98.17,93.11,Varejo
414,509,306,2,20240924,421,12.38,7.57,Atacado
415,569,317,27,20241017,175,9.89,6.81,Atacado
416,580,140,67,20240706,11,79.14,60.55,Varejo
417,9,169,84,20240331,11,81.93,56.39,Varejo
418,166,35,32,20241112,90,106.53,89.57,Atacado
419,166,413,8,20240326,67,73.81,63.37,Atacado
420,557,307,4,20241016,481,12.87,7.47,Varejo
421,463,404,99,20240307,146,74.75,63.35,Atacado
422,377,425,84,20241212,90,85.35,50.85,Atacado
423,480,54,66,20241022,90,135.78,110.93,Varejo
424,348,381,64,20240704,11,0.0,49.62,Varejo
425,5,149,29,20240610,11,74.63,59.01,Atacado
426,413,405,4,20240804,22,85.19,53.45,Atacado
427,467,98,77,20240911,90,148.51,101.82,Exportação
428,527,102,20,20240728,45,140.03,111.43,Atacado
429,146,295,8,20240925,378,10.86,7.76,Atacado
430,171,272,15,20240210,176,11.32,6.21,Atacado
431,469,115,38,20240604,134,107.07,90.38,Atacado
432,472,114,28,20241015,90,136.45,109.53,Atacado
433,573,23,82,20240612,45,122.06,76.8,Atacado
434,404,236,58,20241223,6,93.64,68.06,Varejo
435,430,147,15,20240718,7,80.75,48.87,Atacado
436,412,371,67,20240430,472,12.98,8.1,Atacado
437,271,353,20,20241129,479,6.7,7.81,Atacado
438,345,100,29,20240606,90,125.93,104.09,Atacado
439,242,249,98,20240723,348,10.33,5.99,Varejo
440,50,195,48,20240903,6,59.09,52.17,Atacado
441,585,317,90,20241118,369,12.33,8.05,Atacado
442,472,23,69,20240327,45,102.57,85.66,Varejo
443,490,217,62,20241123,10,64.0,51.05,Varejo
444,132,247,83,20240804,10,92.39,69.25,Atacado
445,299,418,57,20240518,123,77.46,55.71,Varejo
446,377,296,76,20240508,310,12.53,7.76,Varejo
447,54,160,92,20241226,8,92.9,63.46,Varejo
448,524,275,86,20241216,324,10.3,6.57,Atacado
449,17,91,58,20240723,45,122.8,81.21,Varejo
450,317,297,26,20240512,331,11.97,9.36,Atacado
451,127,97,9,20241224,45,136.66,109.22,Atacado
452,144,418,100,20240108,146,84.66,52.52,Atacado
453,113,156,62,20240123,12,110.76,63.41,Atacado
454,567,14,41,20240629,45,111.93,76.88,Atacado
455,286,3,66,20240810,90,107.36,89.04,Varejo
456,361,363,1,20240104,390,12.45,7.09,Varejo
457,535,165,99,20240319,16,97.62,74.63,Atacado
458,205,278,56,20240209,311,8.4,7.33,Atacado
459,124,479,84,20240410,179,92.66,54.53,Atacado
460,46,495,58,20240317,101,74.94,55.32,Varejo
461,582,304,28,20240225,367,12.35,8.1,Varejo
462,366,362,66,20240227,474,12.61,8.11,Varejo
463,131,97,74,20240520,134,154.24,105.03,Atacado
464,119,116,55,20240227,45,156.45,93.92,Atacado
465,588,304,2,20241022,370,12.45,7.16,Atacado
466,204,407,57,20240530,56,100.31,57.18,Varejo
467,40,247,61,20240222,16,110.12,63.1,Varejo
468,82,51,51,20240907,45,141.02,103.69,Atacado
469,258,222,53,20241027,13,99.67,78.85,Atacado
470,124,275,31,20240516,140,10.69,6.58,Atacado
471,490,66,72,20240103,45,117.45,87.32,Atacado
472,120,60,58,20240907,45,130.95,108.41,Atacado
473,586,404,14,20241015,123,98.99,54.19,Atacado
474,288,414,34,20241128,22,74.37,47.81,Atacado
475,314,293,86,20241002,431,12.3,8.58,Atacado
476,496,361,47,20240814,127,12.13,6.92,Atacado
477,330,447,53,20240511,56,70.81,51.66,Varejo
478,590,163,83,20240408,9,101.91,64.81,Varejo
479,498,149,31,20240131,6,83.74,58.31,Atacado
480,118,425,49,20241106,78,84.77,50.97,Varejo
481,447,293,1,20240729,145,12.83,8.1,Varejo
482,354,229,97,20240423,7,94.72,69.37,Varejo
483,299,233,30,20240225,12,90.94,66.69,Atacado
484,162,339,91,20240423,486,10.76,6.02,Atacado
485,521,405,49,20241017,67,81.74,54.24,Atacado
486,363,134,46,20240329,4,78.93,54.95,Varejo
487,371,352,97,20240125,514,13.84,7.47,Varejo
488,502,110,48,20240523,45,127.49,97.8,Atacado
489,129,264,20,20240508,384,9.88,6.18,Varejo
490,265,269,64,20240925,486,9.95,6.17,Atacado
491,104,268,96,20240728,237,10.33,6.48,Atacado
492,520,355,69,20240624,462,12.98,8.15,Atacado
493,450,114,60,20241224,45,134.64,96.05,Atacado
494,334,301,61,20241114,255,12.33,8.14,Varejo
495,492,365,4,20240227,363,10.56,8.31,Varejo
496,96,16,57,20240409,403,94.87,75.84,Atacado
497,405,303,62,20240605,437,10.18,6.97,Exportação
498,447,57,6,20240203,90,122.53,98.53,Varejo
499,382,75,48,20241017,134,107.09,83.98,Varejo
500,311,27,20,20241020,45,107.67,73.81,Atacado
501,283,458,83,20240424,112,57.25,42.66,Atacado
502,388,274,56,20241203,305,8.75,6.62,Atacado
503,511,460,50,20240726,190,70.36,48.17,Varejo
504,568,494,45,20240401,11,75.22,58.8,Varejo
505,109,185,60,20240825,7,93.86,66.21,Varejo
506,136,3,15,20240916,45,115.74,87.66,Atacado
507,143,376,7,20241003,112,65.37,42.96,Atacado
508,472,217,84,20241223,4,73.64,54.59,Varejo
509,599,82,11,20241205,90,111.93,92.98,Exportação
510,336,314,57,20240603,252,9.69,6.67,Atacado
511,186,67,80,20240609,90,112.36,80.53,Atacado
512,415,460,58,20240112,56,78.51,53.34,Atacado
513,316,294,19,20240604,307,12.22,6.99,Atacado
514,286,223,82,20240315,16,84.41,68.74,Atacado
